Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
McLaughlin Natural Reserve,2022-03-23,5,Leptosiphon bicolor,3,,,
McLaughlin Natural Reserve,2022-03-23,5,Litter,25,,,
McLaughlin Natural Reserve,2022-03-23,5,Lupinus bicolor,8,,,
McLaughlin Natural Reserve,2022-03-23,5,Rock,0,,,
McLaughlin Natural Reserve,2022-03-23,5,Trifolium hirtum,1,,,fuzzy
McLaughlin Natural Reserve,2022-03-23,5,Unk Apiaceae,1,,,
McLaughlin Natural Reserve,2022-03-23,5,Vicia villosa,5,,,
McLaughlin Natural Reserve,2022-05-16,5,Avena barbata,3,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,5,Elymus caput-medusae,9,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,5,Bromus hordeaceus,2,,,could be barbata
McLaughlin Natural Reserve,2022-03-23,6,Acmispon wrangelianus,1,,,
McLaughlin Natural Reserve,2022-03-23,6,Bare ground,7,,,
McLaughlin Natural Reserve,2022-03-23,6,Clarkia purpurea,10,,,
McLaughlin Natural Reserve,2022-03-23,6,Erodium botrys,30,,,
McLaughlin Natural Reserve,2022-03-23,6,Grass,5,,,
McLaughlin Natural Reserve,2022-03-23,6,Holocarpha virgata,5,,,
McLaughlin Natural Reserve,2022-03-23,6,Hypochaeris glabra,1,,,
McLaughlin Natural Reserve,2022-03-23,6,Litter,5,,,
McLaughlin Natural Reserve,2022-03-23,6,Lupinus bicolor,9,,,
McLaughlin Natural Reserve,2022-03-23,6,Micropus californicus,25,,,
McLaughlin Natural Reserve,2022-03-23,6,Plantago erecta,15,,,
McLaughlin Natural Reserve,2022-03-23,6,Rock,0,,,
McLaughlin Natural Reserve,2022-03-23,6,Trifolium hirtum,1,,,fuzzy
McLaughlin Natural Reserve,2022-05-16,6,Avena barbata,1,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,6,Elymus caput-medusae,2,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,6,Bromus hordeaceus,1,,,could be barbata
McLaughlin Natural Reserve,2022-03-23,7,Acmispon wrangelianus,1,,,
McLaughlin Natural Reserve,2022-03-23,7,Bare ground,20,,,
McLaughlin Natural Reserve,2022-03-23,7,Bulb,1,,,
McLaughlin Natural Reserve,2022-03-23,7,Clarkia purpurea,1,,,
McLaughlin Natural Reserve,2022-03-23,7,Erodium botrys,5,,,
McLaughlin Natural Reserve,2022-03-23,7,Grass,10,,,
McLaughlin Natural Reserve,2022-03-23,7,Holocarpha virgata,2,,,
McLaughlin Natural Reserve,2022-03-23,7,Leptosiphon bicolor,1,,,
McLaughlin Natural Reserve,2022-03-23,7,Litter,3,,,
McLaughlin Natural Reserve,2022-03-23,7,Lupinus bicolor,22,,,
McLaughlin Natural Reserve,2022-03-23,7,Micropus californicus,10,,,
McLaughlin Natural Reserve,2022-03-23,7,Plantago erecta,1,,,
McLaughlin Natural Reserve,2022-03-23,7,Rock,0,,,
McLaughlin Natural Reserve,2022-03-23,7,Trifolium hirtum,3,,,fuzzy
McLaughlin Natural Reserve,2022-05-16,7,Avena barbata,3,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,7,Elymus caput-medusae,2,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,7,Bromus diandrus,2,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,7,Bromus hordeaceus,1,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,7,Logfia gallica,1,,,could be barbata
McLaughlin Natural Reserve,2022-03-23,8,Acmispon wrangelianus,7,,,
McLaughlin Natural Reserve,2022-03-23,8,Bare ground,3,,,
McLaughlin Natural Reserve,2022-03-23,8,Clarkia purpurea,1,,,
McLaughlin Natural Reserve,2022-03-23,8,Erodium botrys,12,,,
McLaughlin Natural Reserve,2022-03-23,8,Grass,3,,,
McLaughlin Natural Reserve,2022-03-23,8,Holocarpha virgata,7,,,
McLaughlin Natural Reserve,2022-03-23,8,Hypochaeris glabra,1,,,
McLaughlin Natural Reserve,2022-03-23,8,Litter,5,,,
McLaughlin Natural Reserve,2022-03-23,8,Lupinus bicolor,50,,,
McLaughlin Natural Reserve,2022-03-23,8,Micropus californicus,25,,,
McLaughlin Natural Reserve,2022-03-23,8,Plantago erecta,3,,,
McLaughlin Natural Reserve,2022-03-23,8,Rock,0,,,
McLaughlin Natural Reserve,2022-03-23,8,Trifolium hirtum,7,,,fuzzy
McLaughlin Natural Reserve,2022-05-16,8,Avena barbata,1,,,
McLaughlin Natural Reserve,2022-05-16,8,Elymus caput-medusae,1,,,
McLaughlin Natural Reserve,2022-05-16,8,Unknown Brome,1,,,
McLaughlin Natural Reserve,2022-05-16,8,Bromus hordeaceus,1,,,
McLaughlin Natural Reserve,2022-03-23,9,Acmispon wrangelianus,5,,,
McLaughlin Natural Reserve,2022-03-23,9,Bare ground,2,,,
McLaughlin Natural Reserve,2022-03-23,9,Bulb,1,,,
McLaughlin Natural Reserve,2022-03-23,9,Castilleja attenuata,1,,,
McLaughlin Natural Reserve,2022-03-23,9,Clarkia purpurea,1,,,
McLaughlin Natural Reserve,2022-03-23,9,Erodium botrys,4,,,
McLaughlin Natural Reserve,2022-03-23,9,Grass,2,,,
McLaughlin Natural Reserve,2022-03-23,9,Holocarpha virgata,2,,,
McLaughlin Natural Reserve,2022-03-23,9,Litter,1,,,
McLaughlin Natural Reserve,2022-03-23,9,Lupinus bicolor,55,,,
McLaughlin Natural Reserve,2022-03-23,9,Micropus californicus,2,,,
McLaughlin Natural Reserve,2022-03-23,9,Plantago erecta,4,,,
McLaughlin Natural Reserve,2022-03-23,9,Rock,0,,,
McLaughlin Natural Reserve,2022-03-23,9,Trifolium hirtum,1,,,fuzzy
McLaughlin Natural Reserve,2022-05-16,9,Avena barbata,2,,,
McLaughlin Natural Reserve,2022-05-16,9,Elymus caput-medusae,1,,,
McLaughlin Natural Reserve,2022-05-16,9,Bromus diandrus,1,,,
